epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20021.2,2.21832,1.06072,1.97313,0.80409,0.67044,0.73552,0.48502,2.14342,0.959,1.9862,0.005842,0.005842,0.005842
44,20465,2.22935,1.07182,1.97092,0.81826,0.67365,0.73876,0.48632,2.12908,0.94814,1.98313,0.005743,0.005743,0.005743
45,20901.4,2.20247,1.05211,1.96327,0.79154,0.66788,0.73069,0.48328,2.12832,0.94727,1.98478,0.005644,0.005644,0.005644
46,21369.2,2.211,1.0563,1.97414,0.83457,0.6592,0.7383,0.48775,2.12381,0.94363,1.9786,0.005545,0.005545,0.005545
47,21816.9,2.21725,1.06263,1.9666,0.76914,0.69967,0.73663,0.48735,2.12194,0.95115,1.98249,0.005446,0.005446,0.005446
48,22270.8,2.20784,1.04964,1.96614,0.74366,0.69566,0.73104,0.48485,2.12038,0.94766,1.98251,0.005347,0.005347,0.005347
49,22690.2,2.19465,1.05154,1.96168,0.76691,0.69809,0.7391,0.48871,2.11875,0.94619,1.98135,0.005248,0.005248,0.005248
50,23105.4,2.19204,1.03925,1.95932,0.78744,0.68864,0.74215,0.48752,2.11795,0.9335,1.97871,0.005149,0.005149,0.005149
51,23548.1,2.18239,1.0361,1.95306,0.79538,0.6758,0.73351,0.48621,2.11003,0.93441,1.97746,0.00505,0.00505,0.00505
52,23951.2,2.15629,1.0182,1.94825,0.79182,0.69725,0.74205,0.48937,2.11417,0.93245,1.98081,0.004951,0.004951,0.004951
53,24365.2,2.15927,1.01448,1.94801,0.79007,0.69785,0.74873,0.49621,2.10875,0.92884,1.97716,0.004852,0.004852,0.004852
54,24780.9,2.1697,1.02623,1.9509,0.75121,0.7032,0.7403,0.48842,2.1033,0.93023,1.97966,0.004753,0.004753,0.004753
55,25191.1,2.14681,1.00443,1.94235,0.75789,0.70642,0.74299,0.49164,2.10185,0.93477,1.97798,0.004654,0.004654,0.004654
56,25624.4,2.15384,1.02202,1.95243,0.74833,0.70994,0.74176,0.49238,2.10381,0.92976,1.97842,0.004555,0.004555,0.004555
57,26039.7,2.14481,0.9998,1.94053,0.7752,0.70788,0.74513,0.49388,2.09951,0.92115,1.97718,0.004456,0.004456,0.004456
58,26450.6,2.13827,1.00595,1.94054,0.76843,0.71012,0.74552,0.49491,2.0959,0.92235,1.97323,0.004357,0.004357,0.004357
59,26850.8,2.11987,0.98652,1.93306,0.77909,0.69747,0.74265,0.49511,2.09098,0.92291,1.97277,0.004258,0.004258,0.004258
60,27267.8,2.13477,0.99121,1.9374,0.77354,0.70975,0.74423,0.49738,2.09169,0.91766,1.97405,0.004159,0.004159,0.004159
61,27701.6,2.13072,0.99186,1.93615,0.79715,0.70565,0.75061,0.49897,2.08815,0.91534,1.97443,0.00406,0.00406,0.00406
62,28098.3,2.11125,0.97971,1.92577,0.80494,0.69846,0.75031,0.49917,2.09471,0.91733,1.97501,0.003961,0.003961,0.003961
63,28513.5,2.094,0.96767,1.92533,0.80837,0.69245,0.7467,0.4999,2.09298,0.91253,1.97528,0.003862,0.003862,0.003862
64,28929.4,2.08991,0.96742,1.92593,0.77842,0.6937,0.74522,0.49716,2.09295,0.91715,1.97666,0.003763,0.003763,0.003763
65,29358,2.07625,0.96114,1.9262,0.76467,0.70589,0.74589,0.49743,2.09065,0.91276,1.97705,0.003664,0.003664,0.003664
66,29761.3,2.07145,0.96361,1.91754,0.77007,0.70358,0.74635,0.49808,2.08798,0.91161,1.97742,0.003565,0.003565,0.003565
67,30177.6,2.06472,0.95124,1.92,0.78191,0.70351,0.74706,0.49955,2.0878,0.91211,1.97787,0.003466,0.003466,0.003466
68,30592,2.07423,0.96187,1.91354,0.77582,0.70865,0.75353,0.5007,2.08582,0.909,1.97756,0.003367,0.003367,0.003367
69,30982.9,2.06912,0.94991,1.91813,0.77781,0.70567,0.75043,0.50003,2.08282,0.91156,1.97567,0.003268,0.003268,0.003268
70,31420.5,2.05767,0.95108,1.91147,0.78069,0.70044,0.75238,0.50021,2.08102,0.91159,1.97581,0.003169,0.003169,0.003169
71,31837.3,2.05415,0.95108,1.907,0.77063,0.70777,0.74981,0.49948,2.08287,0.91276,1.97541,0.00307,0.00307,0.00307
72,32239.2,2.0409,0.93962,1.89879,0.79144,0.6966,0.74546,0.49747,2.08353,0.91123,1.97565,0.002971,0.002971,0.002971
73,32641.7,2.03438,0.93305,1.90007,0.80051,0.69491,0.7447,0.49804,2.08118,0.90914,1.97512,0.002872,0.002872,0.002872
74,33075,2.0366,0.93442,1.90238,0.79553,0.70064,0.74754,0.49902,2.07965,0.90774,1.97483,0.002773,0.002773,0.002773
75,33489.9,2.01589,0.92059,1.89932,0.80317,0.69786,0.74923,0.4997,2.08056,0.90413,1.97638,0.002674,0.002674,0.002674
76,33900.1,2.01551,0.9204,1.89025,0.79963,0.69669,0.75,0.50033,2.07845,0.89992,1.9764,0.002575,0.002575,0.002575
77,34302.1,2.01056,0.91687,1.88852,0.79572,0.70268,0.75014,0.49898,2.08018,0.90128,1.97696,0.002476,0.002476,0.002476
78,34713.2,2.00297,0.92075,1.88639,0.77417,0.70969,0.7498,0.49885,2.08132,0.90137,1.97933,0.002377,0.002377,0.002377
79,35142.1,1.99701,0.90874,1.89374,0.78379,0.70698,0.75004,0.49897,2.08129,0.90151,1.97956,0.002278,0.002278,0.002278
80,35559.7,1.98138,0.90793,1.88657,0.78391,0.70675,0.75233,0.50158,2.0806,0.90379,1.98051,0.002179,0.002179,0.002179
81,35960.2,1.97386,0.90153,1.88166,0.80886,0.69129,0.75163,0.50219,2.07912,0.90558,1.98085,0.00208,0.00208,0.00208
82,36363.4,1.97344,0.89855,1.88109,0.81302,0.69097,0.75122,0.50167,2.0785,0.90346,1.98123,0.001981,0.001981,0.001981
83,36788.6,1.97321,0.89623,1.87693,0.80944,0.69342,0.75127,0.50102,2.07934,0.9028,1.98311,0.001882,0.001882,0.001882
84,37212.5,1.962,0.89011,1.87342,0.80472,0.69227,0.75292,0.5009,2.07924,0.90195,1.98333,0.001783,0.001783,0.001783
85,37613.5,1.94888,0.88256,1.87979,0.80523,0.69107,0.7524,0.5019,2.07862,0.9032,1.98285,0.001684,0.001684,0.001684
86,38017.8,1.95849,0.88864,1.86957,0.77622,0.71148,0.7521,0.50196,2.07871,0.90494,1.98225,0.001585,0.001585,0.001585
87,38431.3,1.94373,0.87992,1.87336,0.78314,0.71025,0.75196,0.50177,2.07711,0.90341,1.98274,0.001486,0.001486,0.001486
88,38871.6,1.93168,0.87192,1.86061,0.78944,0.70766,0.75356,0.50117,2.07617,0.90234,1.98277,0.001387,0.001387,0.001387
89,39256.7,1.92655,0.86606,1.86192,0.78636,0.70617,0.75223,0.50057,2.07626,0.90286,1.98301,0.001288,0.001288,0.001288
90,39674.3,1.92398,0.86633,1.85513,0.79014,0.70238,0.75261,0.50069,2.07693,0.90103,1.98382,0.001189,0.001189,0.001189
91,40088.7,1.85049,0.79768,1.85042,0.79924,0.70041,0.75263,0.50079,2.07672,0.89995,1.9847,0.00109,0.00109,0.00109
92,40500.7,1.82477,0.78269,1.8404,0.7747,0.71613,0.75123,0.49971,2.07767,0.89974,1.9853,0.000991,0.000991,0.000991
93,40908.5,1.81117,0.77446,1.83582,0.77315,0.71361,0.75108,0.49942,2.08009,0.90086,1.98657,0.000892,0.000892,0.000892
94,41325.8,1.80396,0.77215,1.83111,0.77817,0.71102,0.75105,0.49939,2.08109,0.9027,1.98745,0.000793,0.000793,0.000793
95,41740.5,1.80168,0.77409,1.82818,0.7691,0.7146,0.74939,0.49863,2.08258,0.90394,1.98795,0.000694,0.000694,0.000694
96,42123.8,1.8002,0.77082,1.83377,0.76853,0.71417,0.74838,0.49885,2.08466,0.90505,1.98884,0.000595,0.000595,0.000595
97,42564.9,1.78636,0.76501,1.82363,0.77481,0.70977,0.74769,0.49819,2.08568,0.9059,1.98995,0.000496,0.000496,0.000496
98,42980.5,1.77458,0.75555,1.818,0.77082,0.71395,0.74773,0.4977,2.0872,0.90765,1.99103,0.000397,0.000397,0.000397
99,43379.7,1.77922,0.76039,1.82278,0.77149,0.71389,0.74822,0.49742,2.08755,0.90867,1.99214,0.000298,0.000298,0.000298
100,43779.8,1.77194,0.75549,1.81635,0.78165,0.70966,0.74896,0.49775,2.08828,0.908,1.99284,0.000199,0.000199,0.000199
